time,bid,ask
2023-12-18T10:39:28.723Z,142.714,142.716
2023-12-18T10:39:30.798Z,142.715,142.717
2023-12-18T10:39:39.127Z,142.721,142.722
2023-12-18T10:39:41.268Z,142.718,142.721
2023-12-18T10:39:43.407Z,142.717,142.723
2023-12-18T10:39:49.667Z,142.718,142.72
2023-12-18T10:39:51.759Z,142.717,142.718
2023-12-18T10:40:01.945Z,142.716,142.717
2023-12-18T10:40:04.034Z,142.715,142.719
2023-12-18T10:40:06.122Z,142.718,142.721
2023-12-18T10:40:12.417Z,142.719,142.727
2023-12-18T10:40:14.506Z,142.725,142.738
2023-12-18T10:40:16.612Z,142.736,142.739
2023-12-18T10:40:18.698Z,142.747,142.761
2023-12-18T10:40:20.782Z,142.758,142.758
2023-12-18T10:40:22.873Z,142.756,142.761
2023-12-18T10:40:24.965Z,142.764,142.77
2023-12-18T10:40:27.102Z,142.768,142.763
2023-12-18T10:40:29.195Z,142.76,142.767
2023-12-18T10:40:31.274Z,142.766,142.783
2023-12-18T10:40:33.383Z,142.781,142.784
2023-12-18T10:40:35.469Z,142.783,142.785
2023-12-18T10:40:37.548Z,142.785,142.793
2023-12-18T10:40:39.652Z,142.788,142.789
2023-12-18T10:40:41.728Z,142.787,142.788
2023-12-18T10:40:45.939Z,142.785,142.826
2023-12-18T10:40:48.027Z,142.824,142.828
2023-12-18T10:40:50.122Z,142.827,142.826
2023-12-18T10:40:52.197Z,142.824,142.808
2023-12-18T10:40:54.295Z,142.806,142.798
2023-12-18T10:40:56.375Z,142.797,142.809
2023-12-18T10:40:58.457Z,142.808,142.81
2023-12-18T10:41:00.974Z,142.803,142.807
2023-12-18T10:41:05.171Z,142.788,142.796
2023-12-18T10:41:07.292Z,142.791,142.787
2023-12-18T10:41:09.413Z,142.787,142.79
2023-12-18T10:41:11.645Z,142.786,142.787
2023-12-18T10:41:13.723Z,142.787,142.789
2023-12-18T10:41:15.794Z,142.796,142.798
2023-12-18T10:41:17.877Z,142.795,142.797
2023-12-18T10:41:19.957Z,142.794,142.799
2023-12-18T10:41:22.046Z,142.785,142.787
2023-12-18T10:41:25.776Z,142.786,142.788
2023-12-18T10:41:27.846Z,142.784,142.785
2023-12-18T10:41:29.939Z,142.783,142.771
2023-12-18T10:41:32.043Z,142.769,142.761
2023-12-18T10:41:34.155Z,142.759,142.755
2023-12-18T10:41:36.288Z,142.753,142.76
2023-12-18T10:41:38.377Z,142.766,142.765
2023-12-18T10:41:40.475Z,142.763,142.762
2023-12-18T10:41:42.598Z,142.76,142.764
2023-12-18T10:41:44.714Z,142.762,142.765
2023-12-18T10:41:48.896Z,142.763,142.766
2023-12-18T10:41:50.986Z,142.767,142.768
2023-12-18T10:41:53.073Z,142.766,142.758
2023-12-18T10:41:55.154Z,142.756,142.757
2023-12-18T10:41:57.605Z,142.754,142.759
2023-12-18T10:41:59.689Z,142.747,142.749
2023-12-18T10:42:01.806Z,142.756,142.751
2023-12-18T10:42:03.903Z,142.741,142.743
2023-12-18T10:42:05.993Z,142.754,142.756
2023-12-18T10:42:10.177Z,142.756,142.758
2023-12-18T10:42:12.258Z,142.764,142.76
2023-12-18T10:42:16.454Z,142.765,142.766
2023-12-18T10:42:18.541Z,142.763,142.765
2023-12-18T10:42:22.527Z,142.762,142.758
2023-12-18T10:42:24.616Z,142.761,142.763
2023-12-18T10:42:26.944Z,142.763,142.765
2023-12-18T10:42:29.035Z,142.762,142.764
2023-12-18T10:42:31.125Z,142.763,142.765
2023-12-18T10:42:35.312Z,142.759,142.758
2023-12-18T10:42:39.373Z,142.756,142.759
2023-12-18T10:42:41.458Z,142.754,142.757
2023-12-18T10:42:43.541Z,142.755,142.759
2023-12-18T10:42:45.631Z,142.757,142.758
2023-12-18T10:42:47.736Z,142.756,142.757
2023-12-18T10:42:49.830Z,142.755,142.744
2023-12-18T10:42:51.916Z,142.742,142.742
2023-12-18T10:42:54.060Z,142.739,142.741
2023-12-18T10:42:56.340Z,142.736,142.738
2023-12-18T10:42:58.429Z,142.733,142.735
2023-12-18T10:43:00.536Z,142.724,142.727
2023-12-18T10:43:04.617Z,142.725,142.725
2023-12-18T10:43:06.690Z,142.723,142.724
2023-12-18T10:43:08.777Z,142.722,142.721
2023-12-18T10:43:10.885Z,142.719,142.724
2023-12-18T10:43:13.019Z,142.722,142.722
2023-12-18T10:43:15.107Z,142.72,142.721
2023-12-18T10:43:17.198Z,142.719,142.724
2023-12-18T10:43:19.284Z,142.722,142.725
2023-12-18T10:43:21.369Z,142.726,142.728
2023-12-18T10:43:23.637Z,142.725,142.727
2023-12-18T10:43:29.926Z,142.735,142.737
2023-12-18T10:43:34.154Z,142.733,142.735
2023-12-18T10:43:46.657Z,142.723,142.726
2023-12-18T10:43:48.734Z,142.724,142.725
2023-12-18T10:43:50.873Z,142.725,142.727
2023-12-18T10:43:52.971Z,142.714,142.717
2023-12-18T10:43:57.153Z,142.705,142.707
2023-12-18T10:43:59.243Z,142.712,142.709
2023-12-18T10:44:01.337Z,142.713,142.715
2023-12-18T10:44:05.543Z,142.737,142.743
2023-12-18T10:44:07.621Z,142.738,142.741
2023-12-18T10:44:09.757Z,142.734,142.735
2023-12-18T10:44:13.788Z,142.732,142.734
2023-12-18T10:44:15.889Z,142.733,142.733
2023-12-18T10:44:17.975Z,142.731,142.726
2023-12-18T10:44:20.066Z,142.724,142.729
2023-12-18T10:44:22.162Z,142.727,142.733
2023-12-18T10:44:24.283Z,142.729,142.734
2023-12-18T10:44:30.588Z,142.732,142.735
2023-12-18T10:44:32.851Z,142.735,142.737
2023-12-18T10:44:37.048Z,142.733,142.735
2023-12-18T10:44:39.137Z,142.722,142.724
2023-12-18T10:44:41.269Z,142.717,142.719
